등록연도,시군구명,연료별,용도별,승용차수,승합차수,특수차수,화물차수
2022,의정부시,전기,비사업용,1159,1,3,216
2022,의정부시,전기,사업용,554,35,0,145
2022,의정부시,하이브리드(LPG+전기),비사업용,85,0,0,0
2022,의정부시,하이브리드(경유+전기),비사업용,110,0,0,0
2022,의정부시,하이브리드(경유+전기),사업용,6,0,0,0
2022,의정부시,하이브리드(휘발유+전기),비사업용,7081,0,0,0
2022,의정부시,하이브리드(휘발유+전기),사업용,18,0,0,0
2022,의정부시,휘발유,비사업용,28192,16,0,165
2022,의정부시,휘발유,사업용,43,0,0,0
2022,의정부시,휘발유(무연),비사업용,58422,24,0,28
2022,의정부시,휘발유(무연),사업용,226,0,0,0
2022,의정부시,휘발유(유연),비사업용,74,0,0,0
2022,고양시 덕양구,전기,사업용,200,58,0,175
2022,고양시 덕양구,하이브리드(LPG+전기),비사업용,103,0,0,0
2022,고양시 덕양구,하이브리드(경유+전기),비사업용,127,0,0,0
2022,고양시 덕양구,하이브리드(경유+전기),사업용,4,0,0,0
2022,고양시 덕양구,하이브리드(휘발유+전기),비사업용,9503,0,0,1
2022,고양시 덕양구,하이브리드(휘발유+전기),사업용,4,0,0,0
2022,고양시 덕양구,휘발유,비사업용,35093,24,2,172
2022,고양시 덕양구,휘발유,사업용,19,0,0,0
2022,고양시 덕양구,휘발유(무연),비사업용,66282,37,0,34
2022,고양시 덕양구,휘발유(무연),사업용,104,0,0,0
2022,고양시 덕양구,휘발유(유연),비사업용,66,0,0,0
2022,고양시 일산동구,CNG,비사업용,19,15,0,2
2022,고양시 일산동구,CNG,사업용,0,315,0,0
2022,고양시 일산동구,경유,비사업용,29280,2361,240,11824
2022,고양시 일산동구,경유,사업용,342,431,199,1779
2022,고양시 일산동구,기타연료,비사업용,0,101,76,323
2022,고양시 일산동구,기타연료,사업용,0,1,0,129
2022,고양시 일산동구,수소,비사업용,88,0,0,0
2022,고양시 일산동구,수소,사업용,1,0,0,0
2022,고양시 일산동구,엘피지,비사업용,5492,295,2,582
2022,고양시 일산동구,엘피지,사업용,1352,4,0,71
2022,고양시 일산동구,전기,비사업용,1390,0,1,271
2022,고양시 일산동구,전기,사업용,934,51,0,108
2022,고양시 일산동구,하이브리드(LPG+전기),비사업용,67,0,0,0
2022,고양시 일산동구,하이브리드(경유+전기),비사업용,149,0,0,0
2022,고양시 일산동구,하이브리드(경유+전기),사업용,5,0,0,0
2022,고양시 일산동구,하이브리드(휘발유+전기),비사업용,6656,0,0,3
2022,고양시 일산동구,하이브리드(휘발유+전기),사업용,172,0,0,0
2022,고양시 일산동구,휘발유,비사업용,26764,9,2,123
2022,고양시 일산동구,휘발유,사업용,156,0,1,0
2022,고양시 일산동구,휘발유(무연),비사업용,42740,13,0,29
2022,고양시 일산동구,휘발유(무연),사업용,686,0,0,0
